Month,Users,Transactions,Revenue ($),Development Cost ($),Marketing Cost ($),Operational Cost ($),Total Costs ($),Profit/Loss ($)
Jan,1000,2500,62500,2500.0,5000,3000,10500.0,52000.0
Feb,1200,3000,75000,2500.0,5000,3000,10500.0,64500.0
Mar,1440,3600,90000,2500.0,5000,3000,10500.0,79500.0
Apr,1728,4320,108000,2500.0,5000,3000,10500.0,97500.0
May,2073,5184,129600,0.0,5000,3000,8000.0,121600.0
Jun,2488,6220,155519,0.0,5000,3000,8000.0,147519.0
Jul,2985,7464,186624,0.0,5000,3000,8000.0,178624.0
Aug,3583,8957,223948,0.0,5000,3000,8000.0,215948.0
Sep,4299,10749,268738,0.0,5000,3000,8000.0,260738.0
Oct,5159,12899,322486,0.0,5000,3000,8000.0,314486.0
Nov,6191,15479,386983,0.0,5000,3000,8000.0,378983.0
Dec,7430,18575,464380,0.0,5000,3000,8000.0,456380.0
